City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
154,Avarua,CK,2022-04-11 01:16:29,-21.2078,-159.775,80.65,83,75,4.61
155,Ola,RU,2022-04-11 01:16:30,59.5833,151.2833,17.83,58,12,10.49
156,Medicine Hat,CA,2022-04-11 01:15:52,50.0501,-110.6683,40.71,22,75,18.41
157,Buhovo,BG,2022-04-11 01:16:31,42.7667,23.5667,37.56,75,100,13.8
158,Paslek,PL,2022-04-11 01:16:31,54.0616,19.6593,33.57,87,14,8.1
159,Atocha,BO,2022-04-11 01:16:32,-20.9333,-66.2333,49.48,20,0,11.03
160,Tagusao,PH,2022-04-11 01:16:32,9.1924,117.8141,78.85,79,100,4.92
161,Frederikshavn,DK,2022-04-11 01:16:33,57.4407,10.5366,38.62,73,5,14.05
162,Avera,US,2022-04-11 01:15:06,33.194,-82.5271,62.11,56,0,6.8
163,Katobu,ID,2022-04-11 01:16:33,-4.9408,122.5276,84.51,65,70,3.31
164,Aklavik,CA,2022-04-11 01:16:34,68.2191,-135.0107,12.04,74,87,3.94
165,Novouzensk,RU,2022-04-11 01:16:35,50.4592,48.1431,48.29,87,43,3.94
166,Ponnani,IN,2022-04-11 01:16:35,10.767,75.9252,79.92,87,100,3.44
167,Pontes E Lacerda,BR,2022-04-11 01:16:36,-15.2261,-59.3353,74.68,88,43,2.48
168,Yerofey Pavlovich,RU,2022-04-11 01:16:36,53.9667,121.9667,31.3,49,100,6.93
169,Barrow,US,2022-04-11 01:16:37,71.2906,-156.7887,3.22,78,100,19.57
170,Saint Anthony,US,2022-04-11 01:16:37,45.0205,-93.218,58.08,45,100,18.41
171,Mbalmayo,CM,2022-04-11 01:16:38,3.5167,11.5,68.16,99,100,1.19
172,Inhambane,MZ,2022-04-11 01:16:38,-23.865,35.3833,76.12,87,100,12.3
173,Khatanga,RU,2022-04-11 01:16:39,71.9667,102.5,4.53,94,95,2.86
174,Faanui,PF,2022-04-11 01:13:05,-16.4833,-151.75,81.27,76,6,16.53
175,Basco,PH,2022-04-11 01:16:40,20.4487,121.9702,79.09,80,36,16.6
176,Ellsworth,US,2022-04-11 01:16:40,44.5434,-68.4195,46.29,74,20,8.05
177,Gat,IL,2022-04-11 01:13:00,31.61,34.7642,65.39,79,1,4.5
178,Flin Flon,CA,2022-04-11 01:16:41,54.7682,-101.865,29.12,76,100,8.39
179,Santa Vitoria,BR,2022-04-11 01:15:29,-18.8386,-50.1214,75.18,76,17,3.0
180,Gazanjyk,TM,2022-04-11 01:15:35,39.2446,55.5154,58.78,80,99,1.97
181,Gotsu,JP,2022-04-11 01:16:42,35.0,132.2167,69.67,46,100,2.46
182,Geraldton,AU,2022-04-11 01:12:54,-28.7667,114.6,64.81,88,75,6.91
183,Nabire,ID,2022-04-11 01:16:42,-3.3667,135.4833,83.25,72,29,3.38
184,Coquimbo,CL,2022-04-11 01:16:15,-29.9533,-71.3436,55.13,94,0,2.3
185,Rudnogorsk,RU,2022-04-11 01:17:43,57.2639,103.7519,26.44,82,100,4.94
186,Bagdarin,RU,2022-04-11 01:13:40,54.4333,113.6,30.11,56,67,4.03
187,Hay River,CA,2022-04-11 01:14:58,60.8156,-115.7999,18.54,88,100,13.09
188,Yar-Sale,RU,2022-04-11 01:17:43,66.8333,70.8333,33.64,100,100,9.8
189,Homer,US,2022-04-11 01:17:44,59.6425,-151.5483,45.81,32,0,8.05
190,Margate,GB,2022-04-11 01:17:44,51.3813,1.3862,46.69,77,91,3.0
191,Cabo San Lucas,MX,2022-04-11 01:15:28,22.8909,-109.9124,78.62,66,0,13.8
192,Tuatapere,NZ,2022-04-11 01:17:45,-46.1333,167.6833,61.72,60,100,10.8
193,Qandala,SO,2022-04-11 01:17:45,11.472,49.8728,81.77,55,0,3.38
