,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
205,Itarema,BR,75.88,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
206,Adrar,MR,75.33,clear sky,20.5022,-10.0711,
207,Talnakh,RU,-0.8,overcast clouds,69.4865,88.3972,Talnakh Hotel
208,Qaanaaq,GL,-8.66,broken clouds,77.484,-69.3632,Qaanaaq Hotel
209,Lagoa,PT,56.73,overcast clouds,39.05,-27.9833,Casa Das Faias
210,Hyvinkaa,FI,34.95,overcast clouds,60.6333,24.8667,Scandic Hyvinkää
211,Igarka,RU,1.36,overcast clouds,67.4667,86.5833,"Zapolyar'ye, Gostinitsa"
212,Yatou,CN,64.42,few clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
213,Quelimane,MZ,76.95,broken clouds,-17.8786,36.8883,Hotel Flamingo
214,Kaitangata,NZ,64.31,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
215,Fort Nelson,CA,24.39,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
216,Nanortalik,GL,29.73,overcast clouds,60.1432,-45.2371,
217,Hobyo,SO,82.24,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
218,Namibe,AO,70.65,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
219,Oudtshoorn,ZA,53.96,clear sky,-33.5907,22.2014,Earthbound Guest House
220,Katsuura,JP,66.07,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
221,Praya,CV,68.52,scattered clouds,14.9215,-23.5087,LT Aparthotel
222,Nador,MA,61.05,overcast clouds,35.174,-2.9287,Hôtel La Giralda
223,Lithakia,GR,52.97,broken clouds,37.7167,20.8333,Zante Plaza Hotel & Apartments
224,Fernandez,AR,72.97,overcast clouds,-27.9204,-63.8935,Cordoba Hunting
225,Longyearbyen,SJ,10.24,clear sky,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
226,Ponta Delgada,PT,57.92,broken clouds,37.7333,-25.6667,Vila Nova Hotel
227,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
228,Manokwari,ID,80.65,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
229,High Level,CA,21.31,broken clouds,58.5169,-117.136,Days Inn by Wyndham High Level
230,Lerwick,GB,33.8,overcast clouds,60.1545,-1.1494,The Lerwick Hotel
231,Ouallam,NE,90.81,broken clouds,14.3188,2.0866,
232,Georgetown,MY,87.75,few clouds,5.4112,100.3354,Cititel Penang
233,Saldanha,ZA,62.65,few clouds,-33.0117,17.9442,Blue Bay Lodge
234,Terme,TR,46.33,clear sky,41.2092,36.9739,OTEL GÜVEN TERME
235,Namatanai,PG,85.62,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
236,Mareeba,AU,84.67,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
237,Laguna,US,65.32,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
238,Jalpan,MX,76.01,few clouds,21.2333,-99.4833,Hotel Mision Jalpan
239,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
240,Sampit,ID,83.97,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
241,Arkalgud,IN,78.31,overcast clouds,12.765,76.0569,Anjanadari Lodge And Hotel Kote Arkalagud
242,Porto Novo,BJ,80.42,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
243,Shamgarh,IN,89.26,scattered clouds,24.1833,75.6333,Hotel Shree Onkar Palace
244,Vanimo,PG,86.45,few clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
245,Marsa Matruh,EG,61.03,clear sky,31.3525,27.2453,Beau Site
246,Aksarka,RU,33.8,overcast clouds,66.5606,67.7975,
247,Leh,IN,35.42,broken clouds,34.1667,77.5833,Hotel Ladakh Greens
248,Bambous Virieux,MU,77.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
249,Superior,US,45.57,overcast clouds,46.7208,-92.1041,"Holiday Inn Express & Suites Superior - Duluth Area, an IHG Hotel"
250,Ipameri,BR,72.39,broken clouds,-17.7219,-48.1597,Real Hotel
251,Labuhan,ID,84.45,overcast clouds,-6.8844,112.2051,DoubleFAG
252,Mongo,TD,84.25,overcast clouds,12.1844,18.693,Résidences du Programme FIDA
253,Tres Lagoas,BR,76.1,scattered clouds,-20.7511,-51.6783,Druds Express Hotel
254,Kotka,FI,33.06,broken clouds,60.4664,26.9458,Hotelli Merikotka
255,Maldonado,UY,69.19,overcast clouds,-34.6667,-54.9167,La Cimarrona
256,Gotsu,JP,70.56,light rain,35.0,132.2167,Yurusato
257,Zeya,RU,36.27,overcast clouds,53.75,127.2667,Kapital Inn
258,Narsaq,GL,30.42,overcast clouds,60.9167,-46.05,Sleep In Narsaq
259,Severo-Kurilsk,RU,31.71,overcast clouds,50.6789,156.125,Kak Doma
260,Victoria,HK,83.97,scattered clouds,22.2855,114.1577,Mini Hotel Central
261,Kampong Chhnang,KH,89.55,overcast clouds,12.1667,104.55,ផ្ទះសំណាក់ហេងស្រស់
262,Maneadero,MX,61.11,few clouds,31.7167,-116.5667,Casa De Thompson
263,New Norfolk,AU,62.65,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
264,Juegang,CN,76.95,clear sky,32.3174,121.1855,Rudong Y Hotel
265,Palmer,US,41.41,few clouds,42.1584,-72.3287,Wedgewood Motel
266,Barabash,RU,57.58,broken clouds,43.2,131.4833,
267,Alyangula,AU,94.87,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
268,Slave Lake,CA,26.58,clear sky,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
269,Kavieng,PG,85.14,broken clouds,-2.5744,150.7967,Nusa Island Retreat
270,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
271,Ilulissat,GL,19.42,overcast clouds,69.2167,-51.1,Hotel Arctic
272,Llandrindod Wells,GB,41.94,overcast clouds,52.2416,-3.3787,Metropole Hotel and Spa
273,Buala,SB,84.45,light rain,-8.145,159.5921,Maringe Lagoon Lodge
274,Paravur,IN,82.42,broken clouds,8.7833,76.7,Bluewater Beach Resort
275,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
276,San Ramon,US,56.28,clear sky,37.7799,-121.978,San Ramon Marriott
277,Pangnirtung,CA,19.36,overcast clouds,66.1451,-65.7125,Kilabuk Lodge
278,Port Alfred,ZA,65.17,overcast clouds,-33.5906,26.891,The Halyards Hotel
279,Tenenkou,ML,89.22,broken clouds,14.4572,-4.9169,
280,Camacha,PT,58.42,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
281,Mackenzie,CA,34.02,clear sky,55.2999,-123.1698,Hilton Shop
282,Minab,IR,78.12,clear sky,27.1467,57.0801,Bam campground
283,Chuy,UY,68.74,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
284,Lompoc,US,54.93,haze,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
285,Anadyr,RU,21.7,light snow,64.75,177.4833,Отке17.ру — жильё для командированных
286,Keti Bandar,PK,82.17,overcast clouds,24.1447,67.4497,Haji laloo memon house
287,Pecos,US,77.86,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos
288,Qaqortoq,GL,27.66,overcast clouds,60.7167,-46.0333,Siniffik Inn
289,De-Kastri,RU,31.62,snow,51.4667,140.7833,Somon Hotel
290,Berlevag,NO,33.8,snow,70.8578,29.0864,Kvitbrakka
291,Ossora,RU,28.58,overcast clouds,59.2353,163.0719,
292,Ahuimanu,US,82.11,broken clouds,21.4447,-157.8378,Paradise Bay Resort
293,Panyutyne,UA,50.23,overcast clouds,48.9333,36.2833,TIR стоянка
294,Altamira,BR,72.84,overcast clouds,-3.2033,-52.2064,Requinte Hotel
295,Cidreira,BR,71.83,overcast clouds,-30.1811,-50.2056,Hotel Castelo
296,Sechura,PE,71.46,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
297,Tayoltita,MX,61.52,clear sky,24.0833,-105.9333,Hotel Rivera Tayoltita
298,Faanui,PF,81.64,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
299,Dhidhdhoo,MV,84.31,overcast clouds,6.8833,73.1,Dhidhoo beach
300,Semme,FR,50.41,broken clouds,46.1963,1.5007,Inter-Hotel Alexia
301,Minot,US,35.82,clear sky,48.2325,-101.2963,Noble Inn
302,Yumen,CN,48.43,overcast clouds,40.2833,97.2,
303,Talara,PE,70.45,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
304,Dzerzhinsk,RU,46.22,scattered clouds,56.2389,43.4631,Hotel Druzhba
305,Inirida,CO,73.99,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
306,Seymchan,RU,2.26,broken clouds,62.8833,152.4333,
307,Omboue,GA,77.11,light rain,-1.5746,9.2618,Hotel Olako
308,Ahipara,NZ,69.64,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
309,Mayo,US,44.55,clear sky,38.8876,-76.5119,Resorts Resource Group International
310,Pundaguitan,PH,84.02,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
311,Dunda,TZ,60.57,broken clouds,-8.1167,34.25,
312,Calvinia,ZA,58.24,clear sky,-31.4707,19.776,Die Lemoenhuis
313,Kindu,CD,69.21,light rain,-2.95,25.95,Résidence Okanda
314,Rawson,AR,53.82,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
315,Dengzhou,CN,74.57,broken clouds,37.8086,120.7508,Greentree Inn Penglai Free Harbor Business Hotel
316,Savinka,RU,49.08,few clouds,50.0785,47.0994,
317,Malayal,PH,78.6,moderate rain,7.208,121.942,
318,Lavrentiya,RU,29.03,overcast clouds,65.5833,-171.0,
319,Lehrte,DE,38.05,scattered clouds,52.3833,9.9667,MEDIAN Hotel Hannover Lehrte
320,Fairview,US,44.55,overcast clouds,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
321,Novaya Ladoga,RU,31.5,clear sky,60.1025,32.3019,База Отдыха Горизонт
322,Bundaberg,AU,84.22,broken clouds,-24.85,152.35,Takalvan Motel
